Company,Ticker
1-800-Flowers.Com Inc.,FLWS
Abercrombie & Fitch Co.,ANF
Activision Blizzard,ATVI
Adidas,ADDDF
Alphabet Inc.,GOOG
Amazon.Com Inc,AMZN
AMC Entertainment,AMC
American Eagle Outfitter,AEO
Anheuser-Busch Inbev SA/NV,ABI.BR
Apple Inc.,AAPL
